         1510453 function calls (1509059 primitive calls) in 22.541 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:205(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:21(LongTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:214(ShortTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:214(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:218(FilterDescriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:223(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:224(CharTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:225(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:235(ByteTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:239(DropoutDescriptor)
        1    0.001    0.001    0.001    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:240(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:246(_CudaBase)
        1    0.000    0.000    0.000    0.000 __init__.py:252(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:257(c_bool)
       10    0.000    0.000    0.216    0.022 __init__.py:258(load)
        1    0.000    0.000    0.000    0.000 __init__.py:260(DoubleStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:264(FloatStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:266(RNNDescriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:268(LongStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:27(IntTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:272(IntStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:276(ShortStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:280(CharStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:284(ByteStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:288(HalfStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:288(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:292(DoubleTensor)
       10    0.000    0.000    0.214    0.021 __init__.py:294(loads)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:302(ConvolutionAlgoPerf_v5)
        1    0.000    0.000    0.000    0.000 __init__.py:302(FloatTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:311(ConvolutionAlgoPerf_v6)
        1    0.000    0.000    0.000    0.000 __init__.py:312(LongTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:322(IntTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:329(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:33(ShortTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:332(ShortTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:342(CharTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:346(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:347(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:353(ByteTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:356(_FuncPtr)
        1    0.000    0.000    0.001    0.001 __init__.py:36(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:363(HalfTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:385(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:39(CharTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:391(__init__)
        1    0.002    0.002    0.005    0.005 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:42(THNNCudaBackendStateMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:425(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:426(__init__)
        1    0.001    0.001    0.004    0.004 __init__.py:44(<module>)
        2    0.001    0.001    0.007    0.004 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:46(ByteTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:490(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:491(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:503(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:545(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:582(Filterer)
        2    0.000    0.000    0.000    0.000 __init__.py:587(__init__)
        2    0.001    0.000    0.009    0.004 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:6(Backends)
        1    0.000    0.000    0.000    0.000 __init__.py:61(DummyProcess)
        1    0.000    0.000    0.000    0.000 __init__.py:656(Handler)
        2    0.002    0.001    0.038    0.019 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:71(ProcessError)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:74(BufferTooShort)
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:77(TimeoutError)
        1    0.000    0.000    0.000    0.000 __init__.py:8(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:80(AuthenticationError)
        1    0.000    0.000    0.000    0.000 __init__.py:820(StreamHandler)
        1    0.003    0.003    0.005    0.005 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:88(Condition)
        1    0.000    0.000    0.000    0.000 __init__.py:891(FileHandler)
        1    0.172    0.172    0.491    0.491 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:9(DoubleTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:96(set_default_tensor_type)
        1    0.000    0.000    0.000    0.000 __init__.py:963(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:969(__init__)
        1    0.000    0.000    0.004    0.004 __init__.py:99(<module>)
        1    0.000    0.000    0.000    0.000 _abcoll.py:24(_hasattr)
        2    0.000    0.000    0.000    0.000 _abcoll.py:26(<genexpr>)
        1    0.000    0.000    0.000    0.000 _abcoll.py:63(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:154(DataSource)
        1    0.001    0.001    0.001    0.001 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:50(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:504(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:74(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _functions.py:21(Gather)
        1    0.000    0.000    0.000    0.000 _functions.py:39(Scatter)
        1    0.000    0.000    0.000    0.000 _functions.py:6(Broadcast)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:33(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:45(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:56(_NoValue)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:340(PackageLoaderDebug)
        1    0.000    0.000    0.000    0.000 _import_tools.py:9(PackageLoader)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       38    0.000    0.000    0.001    0.000 _inspect.py:142(formatargspec)
        7    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        5    0.000    0.000    0.000    0.000 _inspect.py:145(<lambda>)
       60    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
       43    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       43    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       38    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
       43    0.000    0.000    0.001    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 _internal.py:200(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:219(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:226(_ctypes)
        1    0.000    0.000    0.009    0.009 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:631(TooHardError)
        1    0.000    0.000    0.000    0.000 _iotools.py:154(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:250(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:444(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:452(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:460(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:473(StringConverter)
      256    0.001    0.000    0.005    0.000 _methods.py:25(_amax)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _tensor_docs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tensor_str.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tensor_str.py:7(__PrinterOptions)
        1    0.000    0.000    0.000    0.000 _torch_docs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:22(deferred_error)
        1    0.000    0.000    0.000    0.000 _utils.py:1(<module>)
      256    0.004    0.000    0.017    0.000 _utils.py:4(_type)
    11928    0.018    0.000    0.028    0.000 _utils.py:54(_range)
      258    0.002    0.000    0.004    0.000 _utils.py:58(_import_dotted_name)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       65    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       43    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
    11953    0.014    0.000    0.014    0.000 _weakrefset.py:70(__contains__)
       36    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       15    0.000    0.000    0.001    0.000 abc.py:105(register)
    11928    0.033    0.000    0.056    0.000 abc.py:128(__instancecheck__)
    21/16    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       49    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
       16    0.001    0.000    0.002    0.000 abc.py:86(__new__)
       72    0.000    0.000    0.001    0.000 abc.py:89(<genexpr>)
        3    0.001    0.000    0.001    0.000 activation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 activation.py:102(Softmin)
        1    0.000    0.000    0.000    0.000 activation.py:143(ReLU6)
        1    0.000    0.000    0.000    0.000 activation.py:170(Sigmoid)
        1    0.000    0.000    0.000    0.000 activation.py:192(Tanh)
        1    0.000    0.000    0.000    0.000 activation.py:214(ELU)
        1    0.000    0.000    0.000    0.000 activation.py:248(Hardshrink)
        1    0.000    0.000    0.000    0.000 activation.py:282(LeakyReLU)
        1    0.000    0.000    0.000    0.000 activation.py:316(LogSigmoid)
        1    0.000    0.000    0.000    0.000 activation.py:338(Softplus)
        1    0.000    0.000    0.000    0.000 activation.py:377(Softshrink)
        1    0.000    0.000    0.000    0.000 activation.py:4(Softsign)
        1    0.000    0.000    0.000    0.000 activation.py:412(PReLU)
        1    0.000    0.000    0.000    0.000 activation.py:452(Softsign)
        1    0.000    0.000    0.000    0.000 activation.py:474(Tanhshrink)
        1    0.000    0.000    0.000    0.000 activation.py:496(Softmin)
        1    0.000    0.000    0.000    0.000 activation.py:51(ReLU)
        1    0.000    0.000    0.000    0.000 activation.py:528(Softmax)
        1    0.000    0.000    0.000    0.000 activation.py:565(Softmax2d)
        1    0.000    0.000    0.000    0.000 activation.py:58(RReLU)
        1    0.000    0.000    0.000    0.000 activation.py:597(LogSoftmax)
        1    0.000    0.000    0.000    0.000 activation.py:78(RReLU)
        1    0.000    0.000    0.000    0.000 activation.py:8(PReLU)
        1    0.000    0.000    0.000    0.000 activation.py:8(Threshold)
        1    0.000    0.000    0.000    0.000 activation.py:97(Hardtanh)
        1    0.069    0.069    0.074    0.074 active_vision_dataset_pytorch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 active_vision_dataset_pytorch.py:221(AVD_ByBox)
        1    0.139    0.139    3.116    3.116 active_vision_dataset_pytorch.py:258(__init__)
        1    0.000    0.000    0.000    0.000 active_vision_dataset_pytorch.py:33(AVD)
        2    0.076    0.038   18.844    9.422 active_vision_dataset_pytorch.py:347(__getitem__)
        1    0.000    0.000    0.001    0.001 active_vision_dataset_pytorch.py:422(_check_integrity)
        1    0.000    0.000    0.000    0.000 adadelta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adadelta.py:4(Adadelta)
        1    0.000    0.000    0.000    0.000 adagrad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adagrad.py:4(Adagrad)
        1    0.001    0.001    0.001    0.001 adam.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adam.py:5(Adam)
        1    0.000    0.000    0.000    0.000 adamax.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adamax.py:5(Adamax)
        1    0.000    0.000    0.068    0.068 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:528(FloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:634(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:654(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:684(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:695(ComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:712(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:733(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 asgd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 asgd.py:5(ASGD)
        2    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.174    0.174 auto.py:1(<module>)
       11    0.000    0.000    0.000    0.000 auto.py:12(_make_function_class_criterion)
        1    0.000    0.000    0.054    0.054 auto.py:192(_generate_function_classes)
        1    0.000    0.000    0.000    0.000 auto.py:195(<dictcomp>)
        1    0.000    0.000    0.000    0.000 auto.py:196(<setcomp>)
       74    0.000    0.000    0.000    0.000 auto.py:56(_find_buffers)
       33    0.001    0.000    0.001    0.000 auto.py:68(_make_function_class)
       33    0.000    0.000    0.000    0.000 auto.py:69(has_argument)
       74    0.000    0.000    0.000    0.000 backend.py:13(register_function)
        1    0.000    0.000    0.000    0.000 backend.py:2(<module>)
        1    0.000    0.000    0.000    0.000 backend.py:2(FunctionBackend)
        1    0.000    0.000    0.000    0.000 backend.py:4(__init__)
        1    0.000    0.000    0.001    0.001 basic_ops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 basic_ops.py:112(MulConstant)
        1    0.000    0.000    0.000    0.000 basic_ops.py:129(DivConstant)
        1    0.000    0.000    0.000    0.000 basic_ops.py:157(PowConstant)
        1    0.000    0.000    0.000    0.000 basic_ops.py:180(Negate)
        1    0.000    0.000    0.000    0.000 basic_ops.py:19(Sub)
        1    0.000    0.000    0.000    0.000 basic_ops.py:32(Mul)
        1    0.000    0.000    0.000    0.000 basic_ops.py:43(Div)
        1    0.000    0.000    0.000    0.000 basic_ops.py:54(Pow)
        1    0.000    0.000    0.000    0.000 basic_ops.py:6(Add)
        1    0.000    0.000    0.000    0.000 basic_ops.py:65(AddConstant)
        1    0.000    0.000    0.000    0.000 basic_ops.py:82(SubConstant)
        2    0.000    0.000    0.001    0.000 batchnorm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 batchnorm.py:135(BatchNorm3d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:51(BatchNorm1d)
        1    0.000    0.000    0.000    0.000 batchnorm.py:7(BatchNorm)
        1    0.000    0.000    0.000    0.000 batchnorm.py:9(_BatchNorm)
        1    0.000    0.000    0.000    0.000 batchnorm.py:93(BatchNorm2d)
        1    0.000    0.000    0.000    0.000 blas.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blas.py:117(Addmv)
        1    0.000    0.000    0.000    0.000 blas.py:147(Addr)
        1    0.000    0.000    0.000    0.000 blas.py:178(Dot)
        1    0.000    0.000    0.000    0.000 blas.py:22(Addmm)
        1    0.000    0.000    0.000    0.000 blas.py:52(Addbmm)
        1    0.000    0.000    0.000    0.000 blas.py:7(_BlasBase)
        1    0.000    0.000    0.000    0.000 blas.py:87(Baddbmm)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:1018(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:131(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:25(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:34(_ExpectedFailure)
        1    0.000    0.000    0.000    0.000 case.py:45(_UnexpectedSuccess)
        7    0.000    0.000    0.000    0.000 case.py:607(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:98(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2041(Chebyshev)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:92(__new__)
        1    0.001    0.001    0.001    0.001 collections.py:11(<module>)
        8    0.004    0.001    0.006    0.001 collections.py:305(namedtuple)
      290    0.000    0.000    0.001    0.000 collections.py:349(<genexpr>)
       38    0.000    0.000    0.000    0.000 collections.py:373(<genexpr>)
       38    0.000    0.000    0.000    0.000 collections.py:375(<genexpr>)
        1    0.000    0.000    0.000    0.000 collections.py:38(OrderedDict)
        1    0.000    0.000    0.000    0.000 collections.py:407(Counter)
        1    0.000    0.000    0.000    0.000 comm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compare.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compare.py:19(Eq)
        1    0.000    0.000    0.000    0.000 compare.py:23(Ne)
        1    0.000    0.000    0.000    0.000 compare.py:27(Gt)
        1    0.000    0.000    0.000    0.000 compare.py:31(Ge)
        1    0.000    0.000    0.000    0.000 compare.py:35(Lt)
        1    0.000    0.000    0.000    0.000 compare.py:39(Le)
        1    0.000    0.000    0.000    0.000 compare.py:6(_CompareOp)
        1    0.000    0.000    0.000    0.000 connection.py:117(Listener)
        1    0.000    0.000    0.000    0.000 connection.py:247(SocketListener)
        2    0.000    0.000    0.000    0.000 connection.py:35(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:43(Listener)
        1    0.000    0.000    0.000    0.000 connection.py:445(ConnectionWrapper)
        1    0.000    0.000    0.000    0.000 connection.py:467(XmlListener)
        1    0.000    0.000    0.000    0.000 connection.py:68(Connection)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 container.py:106(ParameterList)
        1    0.000    0.000    0.000    0.000 container.py:19(Sequential)
        1    0.000    0.000    0.000    0.000 container.py:68(ModuleList)
        1    0.000    0.000    0.000    0.000 container.py:8(Container)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:132(closing)
        7    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 contextlib.py:9(GeneratorContextManager)
        2    0.000    0.000    0.000    0.000 conv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 conv.py:11(ConvNd)
        1    0.000    0.000    0.000    0.000 conv.py:146(Conv2d)
        7    0.000    0.000    0.000    0.000 conv.py:226(make_update_output)
        7    0.000    0.000    0.000    0.000 conv.py:239(make_grad_input)
        1    0.000    0.000    0.000    0.000 conv.py:240(Conv3d)
        7    0.000    0.000    0.000    0.000 conv.py:251(make_grad_params)
        1    0.000    0.000    0.000    0.000 conv.py:266(_bind_functions)
        1    0.000    0.000    0.000    0.000 conv.py:333(_ConvTransposeMixin)
        1    0.000    0.000    0.000    0.000 conv.py:374(ConvTranspose1d)
        1    0.000    0.000    0.000    0.000 conv.py:427(ConvTranspose2d)
